City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
10,Kapaa,US,80.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Saint Anthony,US,80.53,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
15,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
24,Butaritari,KI,81.14,light rain,3.0707,172.7902,Isles Sunset Lodge
26,Katsuura,JP,84.22,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
27,Atuona,PF,77.36,clear sky,-9.8,-139.0333,Villa Enata
35,Kavieng,PG,82.4,light rain,-2.5744,150.7967,Nusa Island Retreat
44,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
47,Nago,JP,90.03,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
51,Iwanai,JP,78.51,overcast clouds,42.9744,140.5089,いわない高原ホテル
53,Hasaki,JP,86.29,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
58,Glenwood Springs,US,79.83,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
60,Hilo,US,84.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
64,Kitimat,CA,77.38,scattered clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
69,Auki,SB,86.97,broken clouds,-8.7676,160.7034,Auki Motel
74,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
77,Meulaboh,ID,82.29,broken clouds,4.1363,96.1285,Kost Pria
78,Merauke,ID,79.5,broken clouds,-8.4667,140.3333,
79,Lufilufi,WS,89.38,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
84,Ranong,TH,78.73,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
85,Gwadar,PK,82.98,overcast clouds,25.1216,62.3254,Sadaf Resort
87,Ormara,PK,83.35,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
89,Salina,US,89.94,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
93,Rabaul,PG,82.02,overcast clouds,-4.1967,152.1721,Rabaul Hotel
101,Hengyang,CN,90.05,few clouds,26.8881,112.615,Honglin Guesthouse
106,Dzhebariki-Khaya,RU,83.88,overcast clouds,62.2167,135.8,
109,Tura,IN,80.2,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
112,Kingsport,US,77.54,broken clouds,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
119,Mankera,PK,84.0,heavy intensity rain,31.3866,71.4407,Haider Wood Supplier
120,Atar,MR,89.82,clear sky,20.5169,-13.0499,Oumou Elghoura
123,Sinnamary,GF,77.07,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
138,Naples,IT,78.85,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
139,Hithadhoo,MV,78.17,light rain,-0.6,73.0833,Scoop Guest House
143,Pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
145,Shihezi,CN,86.77,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
148,Panama City,PA,80.17,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
154,Raja Sansi,IN,82.38,light rain,31.7192,74.7978,Radisson Blu Hotel Amritsar
160,Ixtapa,MX,81.16,broken clouds,20.7,-105.2,hotel la terminal
164,Tadine,NC,77.67,overcast clouds,-21.55,167.8833,
169,Acapulco,MX,82.08,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
176,San Patricio,US,87.55,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
191,Padang,ID,78.85,broken clouds,-0.9492,100.3543,Mercure Padang
193,Half Moon Bay,US,79.45,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
196,Bethel,US,81.34,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
197,Itarema,BR,77.41,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
202,Wichita Falls,US,86.25,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
206,Minbu,MM,86.23,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
207,Kijang,KR,79.93,scattered clouds,35.2442,129.2139,Samyang Beach Villa
211,Dingle,PH,86.11,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
224,Ha Giang,VN,84.99,broken clouds,22.8333,104.9833,Truong Xuan Resort
227,Umm Lajj,SA,84.6,scattered clouds,25.0213,37.2685,Moon light Furnished Units
235,Barbastro,ES,77.54,clear sky,42.0356,0.1269,Gran Hotel Ciudad De Barbastro
239,Lorengau,PG,84.94,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
254,Nong Khai,TH,79.29,overcast clouds,17.9167,103.0833,จารุวรรณ วงชัยยา
256,Portland,US,85.98,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
262,Puerto Padre,CU,79.03,scattered clouds,21.195,-76.6028,Casa Villa Velázquez
266,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
275,Kushima,JP,86.58,clear sky,31.4583,131.2333,Hanaoka
282,Santa Rosa,PH,85.08,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
284,Tombouctou,ML,90.16,few clouds,20.0,-3.0,
285,Havelock,US,83.01,clear sky,34.8791,-76.9013,Sherwood Motel
287,Shingu,JP,83.52,broken clouds,33.7333,135.9833,Shingu UI Hotel
291,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
292,Garwa,IN,83.91,overcast clouds,24.1833,83.8167,A.PS.D Utsav Garden
297,Labuan,MY,80.89,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
300,Nantucket,US,77.02,mist,41.2835,-70.0995,Jared Coffin House
303,Kalmunai,LK,80.13,broken clouds,7.4167,81.8167,VS Villa
306,Amuntai,ID,85.8,overcast clouds,-2.4177,115.2494,Hotel Balqis
307,Tra Vinh,VN,82.94,few clouds,9.9347,106.3453,Hồng Ân
314,Carbonia,IT,77.02,clear sky,39.1672,8.5222,Lu 'Hotel
317,Kamloops,CA,89.74,overcast clouds,50.6665,-120.3192,Ramada by Wyndham Kamloops
318,Hami,CN,82.06,clear sky,42.8,93.45,Laoyutang Resort
320,Altus,US,90.91,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
325,Port Blair,IN,80.46,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
327,Oytal,KZ,85.57,clear sky,42.9057,73.2697,Sanatorium Ak-Niet
330,Sarkand,KZ,88.83,clear sky,45.41,79.9186,Гостиница Сарканд
332,Kendari,ID,79.86,overcast clouds,-3.945,122.4989,Hotel Wixel
335,Houma,US,82.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
340,Taoudenni,ML,90.55,few clouds,22.6783,-3.9836,
342,Maningrida,AU,81.43,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
343,Awbari,LY,78.01,clear sky,26.5921,12.7805,فندق أوباري
347,Isangel,VU,81.09,few clouds,-19.55,169.2667,Tanna Lodge
353,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
355,Westerly,US,78.93,mist,41.3776,-71.8273,La Quinta Inn & Suites by Wyndham Stonington-Mystic Area
356,San Andres,CO,82.42,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
357,Urumqi,CN,81.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
358,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
360,Les Cayes,HT,79.99,overcast clouds,18.2,-73.75,Villa Orphee
363,Nishihara,JP,89.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
367,Korla,CN,82.45,clear sky,41.7597,86.1469,Gulisitan Hotel
369,Glendive,US,85.48,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
376,Corridonia,IT,77.76,clear sky,43.2511,13.5088,Hotel San Claudio
378,Chunian,PK,80.46,overcast clouds,30.964,73.9803,Mitho Teeqia Wala
380,Sibi,PK,88.81,overcast clouds,29.5448,67.8764,Gishkori House Sibi
386,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
398,Sibolga,ID,83.1,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
399,Big Spring,US,90.23,few clouds,32.2504,-101.4787,Hampton Inn & Suites Big Spring
400,Rincon,US,82.83,few clouds,32.296,-81.2354,Days Inn Rincon
401,Mirabad,AF,89.56,clear sky,30.4362,61.8383,
404,Ati,TD,77.49,moderate rain,13.2154,18.3353,
405,Basco,PH,85.71,broken clouds,20.4487,121.9702,Nathaniel's Lodge
407,Bengkulu,ID,80.1,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
413,Biak,ID,80.58,scattered clouds,-0.9131,122.8766,Penginapan Kim
414,Tahe,CN,78.98,clear sky,52.3333,124.7333,塔河宾馆
417,Cam Ranh,VN,85.96,clear sky,11.9214,109.1591,OYO 598 Peony Hotel
422,Serik,TR,84.45,clear sky,36.9169,31.0989,Armas Belek - Ultra All Inclusive
423,Virginia Beach,US,80.02,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
424,Williams Lake,CA,81.86,clear sky,52.1415,-122.1445,Stampeder Motel
425,Bilma,NE,89.6,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
426,Bhinmal,IN,81.43,overcast clouds,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
435,Kieta,PG,85.06,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
436,Cansuje,PH,77.68,moderate rain,9.9231,123.4963,360° Mountain View Resort
439,Hattiesburg,US,85.44,clear sky,31.3271,-89.2903,Quality Inn & Suites
441,Uruzgan,AF,81.95,clear sky,32.8333,66.0,
444,Narasannapeta,IN,83.84,light rain,18.4167,84.05,AVK events and catering
445,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
446,Montrose,US,83.61,scattered clouds,38.4166,-108.2673,
448,Pierre,US,88.86,clear sky,44.3683,-100.351,Ramkota Hotel
449,Kavaratti,IN,81.0,overcast clouds,10.5669,72.642,Green leaf
450,Marsh Harbour,BS,82.76,clear sky,26.5412,-77.0636,Abaco Beach Resort
451,Harindanga,IN,84.63,overcast clouds,22.0383,88.3214,Hasanur Builders
452,Forio,IT,78.53,clear sky,40.7342,13.8646,Hotel Terme Providence
453,San Pedro,PH,84.31,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
461,Dhidhdhoo,MV,81.54,overcast clouds,6.8833,73.1,Dhidhoo beach
465,Shenjiamen,CN,82.08,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
466,Veraval,IN,81.18,overcast clouds,20.9,70.3667,Lords Inn Somnath
473,Huangmei,CN,89.22,scattered clouds,30.1924,116.025,Tianxiachan Hotel
475,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
478,Flagstaff,US,84.52,scattered clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
480,Itoman,JP,89.98,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
482,Galveston,US,87.76,scattered clouds,29.3669,-94.9669,Crystal Suites
483,Labuhan,ID,81.57,overcast clouds,-6.8844,112.2051,DoubleFAG
484,Faanui,PF,77.27,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
486,Umiray,PH,84.61,scattered clouds,15.2206,121.4111,The Chairmans Residence
489,Sur,OM,85.91,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
493,Naze,JP,84.06,scattered clouds,28.3667,129.4833,Shishime Hotel
494,Marawi,PH,82.42,overcast clouds,7.9986,124.2928,Derogongan Residence
496,Kerema,PG,81.14,overcast clouds,-7.9631,145.7785,Frena Lodge
497,Sabha,LY,77.63,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
502,Lengshuijiang,CN,89.44,overcast clouds,27.6881,111.4294,Sheraton
509,Jibuti,DJ,83.44,light rain,11.5,42.5,Orchid Main Camp Goubet
510,Cockburn Town,TC,82.18,clear sky,21.4612,-71.1419,Osprey Beach Hotel
511,Avera,US,80.11,overcast clouds,33.194,-82.5271,
512,Alexandria,EG,77.04,clear sky,31.2156,29.9553,Royal Crown Hotel
513,Fayaoue,NC,77.14,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
516,Minatitlan,MX,78.13,broken clouds,17.9833,-94.5167,Grand Regency Express
522,Sorong,ID,81.45,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
523,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
527,Tual,ID,78.75,broken clouds,-5.6667,132.75,Grand Vilia Hotel
528,Buraydah,SA,86.34,broken clouds,26.326,43.975,Mövenpick Qassim
530,Golden,US,87.49,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
534,Ledyard,US,78.73,mist,41.4398,-72.0142,Stonecroft Country Inn
535,Khandyga,RU,83.44,overcast clouds,62.6667,135.6,Apel'sin
538,Yarada,IN,82.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
543,Khash,IR,78.85,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
546,Almeirim,BR,77.14,broken clouds,-1.5233,-52.5817,Ricácio Hotel
551,Boa Vista,BR,80.58,light rain,2.8197,-60.6733,Aipana Plaza Hotel
553,Makakilo City,US,86.32,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
554,Jashpurnagar,IN,77.25,overcast clouds,22.9,84.15,Sagar Restaurant
556,Matara,LK,77.7,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
562,Tarragona,ES,82.06,few clouds,41.129,1.249,Hotel SB Ciutat de Tarragona
563,Bridgetown,BB,82.89,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
566,Voh,NC,82.36,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
568,Kingston,JM,81.25,clear sky,17.997,-76.7936,The Jamaica Pegasus Hotel
570,Beyneu,KZ,85.39,overcast clouds,45.3167,55.2,NUR
575,Powell,US,78.8,clear sky,40.1578,-83.0752,The Brig
588,Ewa Beach,US,87.75,scattered clouds,21.3156,-158.0072,Base Lodging
589,Poum,NC,77.9,overcast clouds,-20.2333,164.0167,
591,San Ramon,US,83.82,clear sky,37.7799,-121.978,San Ramon Marriott
597,Manaus,BR,77.49,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
598,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
604,Kant,IN,81.72,moderate rain,27.8,79.8,Sumit Verma
608,Hirara,JP,85.08,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
610,Clinton,US,84.22,scattered clouds,42.587,-82.9199,River's Edge
612,Manali,IN,80.69,overcast clouds,13.1667,80.2667,Sarathy Lodge
613,Dumas,US,80.74,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
615,Dossor,KZ,79.03,overcast clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
620,Wagar,SD,82.4,overcast clouds,16.1525,36.2032,
622,Federal Way,US,82.09,few clouds,47.3223,-122.3126,Hampton Inn & Suites Seattle/Federal Way
629,Boyolangu,ID,78.26,overcast clouds,-8.1181,111.8935,Yos ega cv
631,Hamilton,US,79.86,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
635,Kudat,MY,85.01,overcast clouds,6.8837,116.8477,Dream Garden Hotel
644,Simbahan,PH,82.67,scattered clouds,6.3032,120.5836,
651,Alappuzha,IN,79.0,moderate rain,9.49,76.3264,Panoramic Sea Resort
652,Zabaykalsk,RU,80.6,clear sky,49.6333,117.3167,Zheleznyy Mir
657,Qandala,SO,87.67,few clouds,11.472,49.8728,
660,Cairns,AU,81.1,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
661,Chau Doc,VN,81.52,scattered clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
662,Manokwari,ID,80.64,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
664,Beruwala,LK,79.72,overcast clouds,6.4788,79.9828,The Palms Hotel
666,Coahuayana,MX,80.74,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
672,Gizo,SB,84.47,overcast clouds,-8.103,156.8419,Imagination Island
673,Yakeshi,CN,80.02,clear sky,49.2833,120.7333,Longhua Hotel
