City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,47.95,87,51,13.56,broken clouds
1,Winneba,GH,5.3511,-0.6231,72.16,85,52,5.84,broken clouds
2,Castro,BR,-24.7911,-50.0119,59.2,85,100,1.95,overcast clouds
3,San Quintin,MX,30.4833,-115.95,75.13,61,66,17.56,broken clouds
4,Ancud,CL,-41.8697,-73.8203,40.23,94,100,7.09,light rain
5,Vaini,TO,-21.2,-175.2,78.96,83,20,9.22,few clouds
6,Varhaug,NO,58.6147,5.6457,54.86,84,93,27.72,overcast clouds
7,Muhos,FI,64.808,25.9931,64.18,95,100,5.1,light rain
8,Colac,AU,-38.3333,143.5833,58.17,57,100,11.88,overcast clouds
9,Bredasdorp,ZA,-34.5322,20.0403,46.96,83,100,4.54,overcast clouds
10,Kapaa,US,22.0752,-159.319,80.19,76,10,5.01,clear sky
11,Saint Anthony,US,45.0205,-93.218,80.53,48,40,6.91,scattered clouds
12,Busselton,AU,-33.65,115.3333,61.2,79,98,10.65,overcast clouds
13,Grindavik,IS,63.8424,-22.4338,53.55,100,100,3.44,light intensity drizzle
14,Lompoc,US,34.6391,-120.4579,67.84,81,75,21.0,mist
15,Georgetown,MY,5.4112,100.3354,85.93,86,20,5.75,few clouds
16,Ushuaia,AR,-54.8,-68.3,31.66,86,40,28.77,light snow
17,Talnakh,RU,69.4865,88.3972,61.21,60,36,10.45,scattered clouds
18,Yellowknife,CA,62.456,-114.3525,68.52,42,75,6.91,broken clouds
19,Sioux Lookout,CA,50.1001,-91.917,73.47,53,40,5.75,scattered clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,68.56,96,69,1.01,broken clouds
21,Codrington,AU,-38.2667,141.9667,57.56,69,100,14.0,overcast clouds
22,Deputatskiy,RU,69.3,139.9,56.17,52,5,15.99,clear sky
23,Cherskiy,RU,68.75,161.3,47.52,38,99,12.48,overcast clouds
24,Butaritari,KI,3.0707,172.7902,81.14,77,29,6.87,light rain
25,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,88,20,1.5,few clouds
26,Katsuura,JP,35.1333,140.3,84.22,86,54,17.09,broken clouds
27,Atuona,PF,-9.8,-139.0333,77.36,71,3,15.05,clear sky
28,Rikitea,PF,-23.1203,-134.9692,74.43,82,99,24.9,light rain
29,Port Elizabeth,ZA,-33.918,25.5701,50.29,93,0,6.91,clear sky
30,Lavrentiya,RU,65.5833,-171.0,40.62,79,100,17.18,overcast clouds
31,Krasnyy Oktyabr,RU,56.1167,38.8833,54.88,93,12,8.01,few clouds
32,Karratha,AU,-20.7377,116.8463,75.56,60,0,3.6,clear sky
33,Pec,XK,42.6591,20.2883,67.19,51,0,5.77,clear sky
34,Campbeltown,GB,55.4258,-5.6076,55.63,85,100,3.91,overcast clouds
35,Kavieng,PG,-2.5744,150.7967,82.4,76,100,11.1,light rain
36,Kaitangata,NZ,-46.2817,169.8464,44.98,84,100,1.77,overcast clouds
37,Cabo San Lucas,MX,22.8909,-109.9124,94.6,65,4,12.26,clear sky
38,Macae,BR,-22.3708,-41.7869,65.95,100,20,3.44,few clouds
39,West Wendover,US,40.7391,-114.0733,92.41,20,0,17.27,clear sky
40,Qaanaaq,GL,77.484,-69.3632,43.68,96,100,8.5,moderate rain
41,Thompson,CA,55.7435,-97.8558,64.56,72,75,9.22,broken clouds
42,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,63.43,65,42,0.87,scattered clouds
43,Armizonskoye,RU,55.9461,67.6736,59.25,88,92,9.17,overcast clouds
44,Tiarei,PF,-17.5333,-149.3333,78.82,76,7,12.57,light rain
45,Mataura,NZ,-46.1927,168.8643,43.48,88,100,2.35,overcast clouds
46,Hobart,AU,-42.8794,147.3294,53.26,64,20,10.36,few clouds
47,Nago,JP,26.5881,127.9761,90.03,76,14,12.37,few clouds
48,Kodiak,US,57.79,-152.4072,54.91,88,100,0.0,overcast clouds
49,Tezu,IN,27.9167,96.1667,76.53,98,100,1.12,overcast clouds
50,Aklavik,CA,68.2191,-135.0107,73.22,38,76,10.74,broken clouds
51,Iwanai,JP,42.9744,140.5089,78.51,61,94,2.95,overcast clouds
52,Pacocha,PE,-17.5833,-71.3333,58.14,87,56,2.46,broken clouds
53,Hasaki,JP,35.7333,140.8333,86.29,82,15,18.68,few clouds
54,San Cristobal,VE,7.7669,-72.225,71.78,98,99,2.91,overcast clouds
55,Jamestown,US,42.097,-79.2353,74.84,74,0,9.22,clear sky
56,Hobyo,SO,5.3505,48.5268,75.18,83,41,22.24,scattered clouds
57,Ponta Do Sol,PT,32.6667,-17.1,69.71,78,7,7.18,clear sky
58,Glenwood Springs,US,39.5505,-107.3248,79.83,27,0,4.61,clear sky
59,Tazovskiy,RU,67.4667,78.7,46.42,74,100,7.87,overcast clouds
60,Hilo,US,19.7297,-155.09,84.27,83,100,1.01,overcast clouds
61,Pacific Grove,US,36.6177,-121.9166,76.24,86,37,7.0,scattered clouds
62,Hermanus,ZA,-34.4187,19.2345,52.75,70,100,4.29,overcast clouds
63,Tasiilaq,GL,65.6145,-37.6368,36.79,82,84,0.67,broken clouds
64,Kitimat,CA,54.0524,-128.6534,77.38,57,29,1.01,scattered clouds
65,Batagay,RU,67.6333,134.6333,70.5,46,81,4.83,broken clouds
66,Albany,US,42.6001,-73.9662,76.57,80,0,3.65,clear sky
67,Punta Arenas,CL,-53.15,-70.9167,32.11,93,20,24.16,few clouds
68,Alpoyeca,MX,17.6667,-98.5167,73.47,79,48,5.19,scattered clouds
69,Auki,SB,-8.7676,160.7034,86.97,61,62,3.42,broken clouds
70,Berlevag,NO,70.8578,29.0864,57.0,94,100,11.5,overcast clouds
71,Tlapacoyan,MX,19.9667,-97.2167,75.27,86,26,2.68,scattered clouds
72,Saint-Philippe,RE,-21.3585,55.7679,65.79,71,27,11.07,scattered clouds
73,East London,ZA,-33.0153,27.9116,57.18,78,0,8.32,clear sky
74,Saint-Georges,GD,12.0564,-61.7485,82.08,78,20,19.57,few clouds
75,Nikolskoye,RU,59.7035,30.7861,63.88,94,3,3.96,clear sky
76,Novyy Urengoy,RU,66.0833,76.6333,44.4,84,100,6.44,overcast clouds
77,Meulaboh,ID,4.1363,96.1285,82.29,69,61,3.4,broken clouds
78,Merauke,ID,-8.4667,140.3333,79.5,73,53,10.56,broken clouds
79,Lufilufi,WS,-13.8745,-171.5986,89.38,73,11,14.72,few clouds
80,Vila Velha,BR,-20.3297,-40.2925,69.75,93,75,2.3,broken clouds
81,Novopetrovskoye,RU,55.9928,36.4719,52.32,94,3,7.43,clear sky
82,Olafsvik,IS,64.8945,-23.7142,52.03,88,100,5.35,overcast clouds
83,Port Hardy,CA,50.6996,-127.4199,60.98,72,20,10.36,few clouds
84,Ranong,TH,9.9658,98.6348,78.73,80,100,3.29,light rain
85,Gwadar,PK,25.1216,62.3254,82.98,82,100,8.39,overcast clouds
86,Vila,PT,42.0304,-8.1588,58.69,84,93,5.3,overcast clouds
87,Ormara,PK,25.2088,64.6357,83.35,84,100,8.81,overcast clouds
88,Zhirnovsk,RU,50.9845,44.7735,59.43,74,100,5.35,overcast clouds
89,Salina,US,38.8403,-97.6114,89.94,52,0,1.01,clear sky
90,Dauphin,CA,51.1494,-100.0502,75.34,50,0,14.97,clear sky
91,Yulara,AU,-25.2406,130.9889,66.58,23,0,6.38,clear sky
92,Bluff,NZ,-46.6,168.3333,43.81,71,99,7.72,overcast clouds
93,Rabaul,PG,-4.1967,152.1721,82.02,72,100,4.36,overcast clouds
94,Chapais,CA,49.7834,-74.8492,64.18,96,100,11.92,overcast clouds
